year,AUC_runs,AUC_wkts
2008,0.657550535077289,0.7149227110582639
2009,0.5926724137931034,0.6580972906403941
2010,0.6521255904417894,0.598916365657127
2011,0.6751331811263319,0.7349695585996956
2012,0.6011687363038715,0.6588750913075236
2013,0.5606375606375605,0.669005544005544
2014,0.6472631286468463,0.6783828841344818
2015,0.6320257611241217,0.7322892271662763
2016,0.6708333333333334,0.7169444444444445
2017,0.615948275862069,0.6474137931034483
2018,0.54,0.5616666666666666
2019,0.621275410749095,0.646895015316068
2020,0.6441127232142857,0.6891741071428572
2021,0.6133648235621005,0.5861350375104195
2022,0.6118517165814462,0.6988677867056245
2023,0.6340244353942984,0.6683635690485006
2024,0.650664550684388,0.6199166831977783
2025,0.6203947368421054,0.6756578947368422
