year,coef_runs,coef_wkts
2008,0.025235859668512193,-0.6647012820443271
2009,0.007917606730966623,-0.5549432471883771
2010,0.043856387244502956,-0.20582337170330336
2011,0.02305353315346596,-0.790724461142177
2012,0.019916965439269605,-0.4581609522147666
2013,0.0023683634641640285,-0.59561778499289
2014,0.018796598952033255,-0.6086167807512733
2015,0.04750567164193471,-0.757977218447202
2016,0.03862183977112153,-0.5581381110296346
2017,0.023204572822662535,-0.3920671075171547
2018,0.006845314306393162,-0.22290176247143906
2019,0.019648017115713293,-0.4434014338949632
2020,0.02960085403444441,-0.566190133604684
2021,0.03191013923802115,-0.1161416986499681
2022,0.014901221416568723,-0.6359651040513007
2023,0.021595090905743436,-0.45735447434302134
2024,0.037490804203777164,-0.2489714044645291
2025,0.021663129071169795,-0.45771663866518814
