year,pp_bucket,won,win_rate
2008,0-20,,
2008,21-30,0.23076923076923078,23.076923076923077
2008,31-40,0.3076923076923077,30.76923076923077
2008,41-50,0.5675675675675675,56.75675675675676
2008,51-60,0.6666666666666666,66.66666666666666
2008,60-70,0.5,50.0
2008,70+,0.8333333333333334,83.33333333333334
2009,0-20,0.0,0.0
2009,21-30,0.2777777777777778,27.77777777777778
2009,31-40,0.5454545454545454,54.54545454545454
2009,41-50,0.4642857142857143,46.42857142857143
2009,51-60,0.625,62.5
2009,60-70,0.5,50.0
2009,70+,0.5,50.0
2010,0-20,,
2010,21-30,0.0,0.0
2010,31-40,0.5,50.0
2010,41-50,0.3888888888888889,38.88888888888889
2010,51-60,0.6060606060606061,60.60606060606061
2010,60-70,0.7333333333333333,73.33333333333333
2010,70+,0.0,0.0
2011,0-20,0.6666666666666666,66.66666666666666
2011,21-30,0.29411764705882354,29.411764705882355
2011,31-40,0.36585365853658536,36.58536585365854
2011,41-50,0.4807692307692308,48.07692307692308
2011,51-60,0.7857142857142857,78.57142857142857
2011,60-70,0.7333333333333333,73.33333333333333
2011,70+,1.0,100.0
2012,0-20,0.0,0.0
2012,21-30,0.375,37.5
2012,31-40,0.48484848484848486,48.484848484848484
2012,41-50,0.45161290322580644,45.16129032258064
2012,51-60,0.6296296296296297,62.96296296296296
2012,60-70,1.0,100.0
2012,70+,,
2013,0-20,,
2013,21-30,0.3888888888888889,38.88888888888889
2013,31-40,0.44642857142857145,44.642857142857146
2013,41-50,0.5714285714285714,57.14285714285714
2013,51-60,0.47619047619047616,47.61904761904761
2013,60-70,0.42857142857142855,42.857142857142854
2013,70+,1.0,100.0
2014,0-20,1.0,100.0
2014,21-30,0.3333333333333333,33.33333333333333
2014,31-40,0.375,37.5
2014,41-50,0.4444444444444444,44.44444444444444
2014,51-60,0.65,65.0
2014,60-70,0.8,80.0
2014,70+,0.6666666666666666,66.66666666666666
2015,0-20,0.0,0.0
2015,21-30,0.25,25.0
2015,31-40,0.3448275862068966,34.48275862068966
2015,41-50,0.5581395348837209,55.81395348837209
2015,51-60,0.4583333333333333,45.83333333333333
2015,60-70,0.6,60.0
2015,70+,1.0,100.0
2016,0-20,,
2016,21-30,0.1,10.0
2016,31-40,0.4,40.0
2016,41-50,0.5365853658536586,53.65853658536586
2016,51-60,0.48,48.0
2016,60-70,0.9090909090909091,90.9090909090909
2016,70+,1.0,100.0
2017,0-20,,
2017,21-30,0.2857142857142857,28.57142857142857
2017,31-40,0.4,40.0
2017,41-50,0.5135135135135135,51.35135135135135
2017,51-60,0.43333333333333335,43.333333333333336
2017,60-70,0.5333333333333333,53.333333333333336
2017,70+,0.8888888888888888,88.88888888888889
2018,0-20,,
2018,21-30,0.2,20.0
2018,31-40,0.5294117647058824,52.94117647058824
2018,41-50,0.4444444444444444,44.44444444444444
2018,51-60,0.5111111111111111,51.11111111111111
2018,60-70,0.6363636363636364,63.63636363636363
2018,70+,0.6666666666666666,66.66666666666666
2019,0-20,1.0,100.0
2019,21-30,0.4444444444444444,44.44444444444444
2019,31-40,0.3333333333333333,33.33333333333333
2019,41-50,0.40540540540540543,40.54054054054054
2019,51-60,0.5405405405405406,54.054054054054056
2019,60-70,0.5625,56.25
2019,70+,1.0,100.0
2020,0-20,0.0,0.0
2020,21-30,0.14285714285714285,14.285714285714285
2020,31-40,0.34615384615384615,34.61538461538461
2020,41-50,0.4864864864864865,48.64864864864865
2020,51-60,0.525,52.5
2020,60-70,0.8571428571428571,85.71428571428571
2020,70+,0.5,50.0
2021,0-20,0.0,0.0
2021,21-30,0.5,50.0
2021,31-40,0.30434782608695654,30.434782608695656
2021,41-50,0.5348837209302325,53.48837209302325
2021,51-60,0.5161290322580645,51.61290322580645
2021,60-70,0.6666666666666666,66.66666666666666
2021,70+,1.0,100.0
2022,0-20,0.0,0.0
2022,21-30,0.4,40.0
2022,31-40,0.425,42.5
2022,41-50,0.4791666666666667,47.91666666666667
2022,51-60,0.5428571428571428,54.285714285714285
2022,60-70,0.7142857142857143,71.42857142857143
2022,70+,0.6,60.0
2023,0-20,,
2023,21-30,0.5,50.0
2023,31-40,0.3125,31.25
2023,41-50,0.41025641025641024,41.02564102564102
2023,51-60,0.4888888888888889,48.888888888888886
2023,60-70,0.6785714285714286,67.85714285714286
2023,70+,0.6363636363636364,63.63636363636363
2024,0-20,,
2024,21-30,0.0,0.0
2024,31-40,0.4,40.0
2024,41-50,0.42857142857142855,42.857142857142854
2024,51-60,0.4772727272727273,47.72727272727273
2024,60-70,0.5217391304347826,52.17391304347826
2024,70+,0.76,76.0
2025,0-20,0.0,0.0
2025,21-30,0.25,25.0
2025,31-40,0.36363636363636365,36.36363636363637
2025,41-50,0.2727272727272727,27.27272727272727
2025,51-60,0.5098039215686274,50.98039215686274
2025,60-70,0.5161290322580645,51.61290322580645
2025,70+,0.6538461538461539,65.38461538461539
